,objek wisata,ulasan,atraksi,amenitas,aksesibilitas
1375,gunung pegat,sore vibes nya indah pake bagtt,positif,,
1446,gunung pegat,Mantaap pokoknya enggak kalah sama yang lain nya,,,
2446,wbl,bagus sekali . banyak wahana mainan. makanan enak enak,positif,positif,
2255,wbl,Wisata lengkap. Banyak wahana permainan untuk anak-anak dan dewasa. Memadukan wisata alam pantai laut jawa dan goa alam Goa Maharani yang lengkap dengan kebun binatangnya yang berada dalam satu lokasi. Wisatawan datang dalam satu lokasi sekali parkir kendaraan bisa menikmati berbagai macam jenis wisata. Bagus. Tidak rugi jauh-jauh datang kesini. Perlu waktu sehari untuk menikmati seluruh anjungan lengkap dengan Maharani Zoo.,positif,,
2329,wbl,wahana cukup bagus dan fasilitas beragam,positif,positif,
142,alun alun,Kereeen buat ajak main anak2 pas mudik asal jangan siang2 ya panas hehehehe,positif,,
545,alun alun,kebersihan kurang lumayan,,positif,
240,alun alun,"Bagus, cocok buat santai.. banyak jajanan juga",positif,positif,
1329,gunung pegat,"Masih dalam pembangunan melengkapi fasilitas pengunjung,tempatnya asik,petugasnya ramah....",,positif,
2896,goa maharani,akses menuju lokasi objek wisata ini tidak sulit,,,positif
1231,gunung mas mantup,Baguss buat spot foto..agak bahaya buat anak anak,positif,negatif,
1365,gunung pegat,"Pemandangan yg indah
Warung Makanannya lengkap
Sipp deh",positif,positif,
1062,goa maharani,"Menjelajahi tempat ini, memberikan pengalaman baru untuk si kecil yang berada di usia golden age",positif,,
2793,wego,jalan menuju wego kurang nyaman...,,,negatif
47,alun alun,"cocok untuk bersantai bersama keluarga siang/malam, tempat luas ada playground, sarana olah raga, kandang burung, air mancur. dekat pusat perbelanjaan.. perlu kepedulian dari pihak pengelola dan pengunjung agar sarana fasilitas awet.",positif,,
897,goa maharani,"Kebersihan di tempat wisata tidak d ragukan lagi, petugas banyak dan ramah cuman sayangnya keadaan musolla yg kurang terawat apalgi d tambah pas duduk d depan petugas kebersihan nyapu d depan pintu masuk maharani zoo dan sampahnya d taruh d pojok pintu musolla sayank skali, mohon d perbaiki untuk kebersihan musolla dan tempat wudhu nya jg tidak hanya lokasi maharani nya",,negatif,
51,alun alun,"Suka bangeeet, anti macet-macet club, jalan nya luas, , ada banyak mainan,",positif,,positif
1797,pantai lorena,Tempatnya bagus. Cocok buat nongkrong. Ada warung-warung di tepi pantainya.,,positif,
2240,wbl,Siipp,,,
265,alun alun,"Fasilitasnya bagus. Tapi makin kesini kok banyak yg tidak terawat seperti lampu taman yg mati, dan keran air cuci tangan tidak menyala",,negatif,
2109,waduk gondang,jarak antara rumah ke tempatnya lumayan jauh,,,negatif
1777,pantai lorena,"Tempatnya sih bagus dan dekat dgn jalan raya, tapi kadang kalau sdg surut ada sebagian sampah yg tersangkut ditepi pantai dan itu saya rasa cukup menggangu..",,negatif,positif
1406,gunung pegat,Indah dan melihat sekeliling pemandangan hati jadi sejuk dan  terus berbenah mudah2an bisa menarik banyak wisatawan,positif,,
1631,pantai kutang,Tempat wisata yg murah dan indah,positif,,
577,alun alun,Tempatnya bersih,,positif,
1514,gunung pegat,Wisata riang.... Sambil Gowes,positif,,
519,alun alun,"Alun2nya bagus buat ank2 bnyak mainan dan ruang publiknya
Cuman sayang smpahnya dmn2 yg bw smpah g da yg tanggung jwb abs makan smpahnya g dbwa plg tp dtinggal dtempat",positif,negatif,
1014,goa maharani,"Alhamdulillah... Hewan-hewan satwa terrawat dengan baik, sehat dan berkembang biak semua. Semoga tim Maharani Zoo diberikan kesehatan selalu. Aamiin...",positif,,
2865,goa maharani,Jalan yang tidak rusak memungkinkan kami untuk menikmati perjalanan tanpa harus khawatir dengan kerusakan jalan.,,,positif
1290,gunung pegat,"Sabtu malam bersama sahabat, makan mie goreng telur disanding es kopi bersama hiburan orgen tunggal sembari menikmati pemandangan kerlip lampu pedesaan",positif,,
994,goa maharani,Lumayan lengkap binatangnya. Harga tiket terjangkau.,positif,,
1026,goa maharani,Tiket masukNya Agak Lumayan mahal,,,negatif
2551,wbl,Tempatnya luas bersih dan harga tiket terjangkau,positif,positif,
446,alun alun,Semakin bagus untuk wisata terutama ada wahana bianglala,positif,,
1895,pantai lorena,Cocok untuk wisata keluarga,positif,,
2851,,"fasilitas lengkap, ada musholla, ada toilet dan ga kotor",,positif,
320,alun alun,"spot istirahat oke, banyak pilihan makan dan minuman,ada masjid agung lamongan dan pasar tingkat lamongan. Silahkan kalau mau mampir dan neduh sejenak maupun seenaknya, hehehe. ""WELCOME TO LAMONGAN MEGILAN""",,positif,
952,goa maharani,Wisata bersama staf dan karyawan PT Ruyan Raya Properti dan Toko Sinar Abadi,,,
1565,pantai kutang,"Alhamdulillah bersih tempatnya, dan air pantainya juga lumayan bersih tidak begitu banyak lumpur.",,positif,
2385,wbl,"Wisata terusannya di banyakin dungg
Kalau ada gocart makin asyik..",negatif,,
2099,waduk gondang,Enk suasananya,,positif,
1028,goa maharani,Terlalu mahal untuk tiket masuk,,,negatif
2609,wbl,Banyak yang kurang terawat,negatif,,
1031,goa maharani,Hewan e banyak,positif,,
87,alun alun,Fasilitas nya banyak yang harus di perbaiki apa lagi untuk permainan anak anak nya takutnya membahayakan anak yang lagi main,,negatif,
2500,wbl,Wahana,,,
579,alun alun,"Bagus,bersih,tempah sampah tersedia d segala sudut.",,positif,
2398,wbl,Liburan ke wbl sangat menyenangkan bisa bermain semua wahana dan menikmati indahnya pesisir laut,positif,,
264,alun alun,"Meskipun tiap hari bermain di alun"" gk akan pernah bosan....banyak sekali permainan nya ...ak suka",positif,,
2758,wego,tempat rekreasi keluarga di tengah kampoeng. tempatnya tropikal banget. ada bangkai pesawat yg disulap jadi pesawat yg kaya masih layak terbang.,positif,,
781,alun alun,Cukup Bagus buat hiburan bersama keluarga,positif,,
2292,wbl,"Murah, meriah, puas",,positif,
1930,pantai lorena,.. pemandangan bagus ..,positif,,
2098,waduk gondang,"Sejuk,, nyaman",positif,positif,
1046,goa maharani,koleksi binatang masih kurang lengkap,negatif,,
617,alun alun,"Alun alunnya bagus, bersih sy suka banget",,positif,
103,alun alun,"Enak buat keluarga.
Ada kritik sedikit, masyarakatnya tidak tertib dalam membuang sampah. Harusnya tiap titik ada bak sampah dan ada tulisan tidak membuang sampah sembarangan.",,negatif,
1513,gunung pegat,Tempat yang masih alami,positif,,
954,goa maharani,"Bagus menarik cocok untuk anak"" Dan keluarga",positif,,
2649,wego,Tempat asyiik & nyaman bt liburan bareng keluarga,positif,positif,
2846,wbl,Fasilitas di objek wisata ini terjaga dengan baik dan tidak  kotor,,positif,
712,alun alun,"Ada penambahan wahana bermain yang baru yaitu bianglala makin menambah referensi permainan, sehingga semakin banyak pilihan bagi para pengunjung",positif,,
2007,waduk gondang,Bagus,,,
798,alun alun,Temptnya bagus buat liburan keluarga..,positif,,
2076,waduk gondang,Nyaman,,positif,
608,alun alun,Tembatnya bagus bersih ada tempat untuk main anak anak,positif,positif,
303,alun alun,"nuruti anak minta kesini
alhamdulillah tidak rame",positif,,
2272,wbl,Banyak wahana baru,positif,,
1292,gunung pegat,"Beautiful scenery, disarankan datang ketika sunrise/set, tiket masuk murah, harga maknaan standar",positif,positif,
877,goa maharani,"Desain tempatnya bagus,
Tempat tidak terlalu panas (banyak pepohonan),
Gua nya agak lembab namun wangi (disediakan banyak kipas juga).
Rekomen untuk liburan keluarga.",positif,positif,
1627,pantai kutang,"eman banget, pantainya banyak sampah",,negatif,
2746,wego,Parkir yang luas dan memiliki banyak wahana permainan dengan pesawat yg bisa dinaiki. Terdapat perahu dan ada kolam renang serta wahana lainnya,positif,positif,
344,alun alun,Sangat menyenangkan dg kota soto lamongan,positif,,
80,alun alun,Salah satu fasilitas publik di kota Lamongan. Tempat yang hampir tidak pernah sepi setiap harinya. Bisa dijadikan sarana liburan bagi keluarga ataupun sekedar nongkrong dengan teman. Tempat yang memiliki fasilitas ckup di outdoor area.,positif,positif,
456,alun alun,Cukup cantik dan indah,positif,,
416,alun alun,Tempat untuk bersama keluarga,positif,,
1867,pantai lorena,"sangat mudah di jangkau, pemandangan indah sekali",,,positif
2861,goa maharani,Jalan yang tidak rusak membuat kami merasa lebih aman,,,positif
1161,gunung mas mantup,"Tiket masuk 2 orang dewasa 1anak anak 25 ribu,tempatnya bersih,banyak spot fto bagus, sesuai untuk wisata keluarga",positif,positif,
1764,pantai lorena,Lumayan,,,
182,alun alun,"Kalo Minggu rame banget, mau cari sarapan macem2",,positif,
675,alun alun,Bersih dan asri,positif,positif,
2671,wego,"Tempat enak mungkin karna pandemi jadi sepi ya,tp nyaman tempatnya luas dan kolam renang juga bersih.",positif,,
1334,gunung pegat,Pemandangannya indah sekali. Cocok bagi kalian yg pengen piknik murah meriah di area wonogiri-sukoharjo. Paling rame kalau hari libur atau ahad. Jalan menuju puncak sudah bagus. Gaskeun,positif,,positif
1097,goa maharani,Bagus n bersih buat anak2 edukasi bgus,positif,positif,
260,alun alun,"Pemandangan yg bagus...
Banyak spot foto
Dekat dengan masjid",positif,positif,
1315,gunung pegat,"Mantapnya, ada beberapa wahana gratis untuk hiburan keluarga, ada gym, terapi ikan, odong odong, balon terbang, perahu di atas bukit, dll, tersedia juga warung dan mushola.",positif,positif,
1876,pantai lorena,tukang parkir nya kurang baik,,negatif,
2351,wbl,Tempatnya bersih luas ...pilihan wahana juga banyak..harga makanan standart...toilet juga bersih...,positif,positif,
2834,wego,"wahana seru, cuman kurang fasilitasnya, tidak ada tempat charger sama tidak ada wifi",positif,negatif,
2591,wbl,diperbanyak toiletnya dan sarananya,,negatif,
2206,wbl,Bnyak permainan wahana,positif,,
69,alun alun,"Tempatnya bagus, bersih dan rindang.. Nyaman ",positif,positif,
2404,wbl,"Disini seperti tempat main wahana lainnya,ada bianglala,crazycar,histeria,bioskop 3D,dan masih banyak lainnya.disini banyak yang menjual makanan minuman bahkan pakaian.dibelakang langsung menghadap ke laut yang cantik dan masih bersih",positif,positif,
1189,gunung mas mantup,"Dari tahun ke tahun tempat ini sangat banyak perubahan, dan tentunya sangat bagus dan menarik untuk di kunjungi",positif,,
1437,gunung pegat,Menikmati pemandangan dri puncak gunung ... Segar nyaa udara pegunungan,positif,,
1358,gunung pegat,Penuh dengan pembenahanfasilitasnya yang semakin kesini semakin keren,,positif,
1123,goa maharani,Seneng dan bahagia,,,
361,alun alun,kurang aesthetic ya untuk pemandangan tamannya,negatif,,
978,goa maharani,Asik tempatnya ada kebun binatang mini juga,positif,,
417,alun alun,"Saya pernah beberapa kali mengunjungi dan terkesan bersih dan rapi dengan beberapa penambahan fasilitas olahraga yang cukup banyak,",,positif,
2228,wbl,"Seru, tpi jarak nya jauh dari rumahku butuh 5 jam perjalanan naik tayo",,,negatif
203,alun alun,Tamannya bgus cuma bnyak yg rusak untuk permainan anak²nya,,negatif,
1517,gunung pegat,Bagus,,,
195,alun alun,Asyik banyak mainan tapi perlu pemeliharaan untuk mainan rusaknya,,negatif,
2348,wbl,"Nyaman,pelayananny ramah ,wahana bermain banyak buat anak sampai dewasa ada jga ada kolam renang jga ada lautny ...bagus dhhh GK nyesel kalau kewbl",positif,positif,
2751,wego,Tempat ini cukup menarik untuk wisata keluarga .,positif,,
514,alun alun,Kurang terawat,,negatif,
94,alun alun,"Penataan alun2 terbaik, Saran: Perawatan untuk rumput harus lebih sering biar kelihatan rapi.
",,negatif,
488,alun alun,Cocok buat bersantai,positif,,
1527,gunung pegat,view oke...,positif,,
769,alun alun,"Tempat luas,bersih,komplit,ada taman bermain,dekat masjid,dan kuliner,yang paling menarik bianglalanya free",positif,positif,
883,goa maharani," Lahan parkir kurang luas, kesadaran pengunjung utk kebersihan masih rendah. Tarif murah,",,negatif,
2389,wbl,tidak bisa bermain dengan si mpuss di ruang ber-AC lagi krn sudah tidak lg ruangan kosong hik..hik,,negatif,
879,goa maharani,"Tempatnya nyaman edukatif , toilet juga banyak , petugasnya ramah , pedagangnya juga ramah.",,positif,
555,alun alun,Fasilitas lengkap,,positif,
1740,pantai lorena,Tempat yang santai untuk istirahat sejenak ketika menyusuri pantura.,positif,,
1960,waduk gondang,"Tempat kotor, jumlah tempat sampah tidak sebanding dg pengunjung. Saran untuk di tambah tempat sampah di setiap sudut tempat. Banyak wahana bermain yg rusak. Banyak pedagang jajanan dan lainnya",negatif,negatif,
18,alun alun,"Salah satu tempat yg hampir tiap seminggu sekali kita kunjungi. Tempatnya nyaman buat santai..buat main anak2...apalagi kalo sore menjelang maghrib.

Tpi sayang,kesadaran pengunjung dalam menjaga kebersihannya kurang. Masih banyak yg buang sampah sembarangan.",positif,negatif,
297,alun alun,"Tempat bermain yg murah meriah terutama bagi anak2,lokasinya di tengah kota dekat masjid agung lamongan dan banyak penjual jajanan di kawasan PKL timur alun2.",positif,positif,
2161,wbl,"Pelayanan baik, disetiap tempat ada kursi untuk duduk ",,positif,
1574,pantai kutang,"Pemandangan bagus, tempatnya bersih. Tiket parkir murah, cuma 2ribu per motor. Tiket masuk cma 5ribu perorang. Kulinernya juga memuaskan",positif,positif,
1035,goa maharani,"Hewan konservasi tergolong lengkap, di masa pandemi seperti ini ada diskon yg lumayan untuk harga tiketnya",positif,,positif
2685,wego,Suasananya nyaman cocok untuk santai bersama keluarga,positif,,
1239,gunung mas mantup,Menakjupkan pemandangan indah itu bukti ada nya Allah subehanuhuwata' ala,positif,,
939,goa maharani,Edukasi pengenalan langsung dengan hewan untuk anak2 sangat bagus buat wawasan,positif,,
1689,pantai lorena,"Duduk duduk di warung di pinggir pantai Lorena di bawah rimbunnya pohon. Menikmati embusan angin laut. Kalo lagi surut, pasirnya luas banget dan ",positif,,
2416,wbl,Semakain mantap juga terjangkao tiket masukya,positif,,
1257,gunung mas mantup,Wisata alam buatan,positif,,
478,alun alun,Klasik…biasa saja,negatif,,
2041,waduk gondang,"Kurang bagus terlalu banyak spd motor bleyer"" jdi berisik",,negatif,
1201,gunung mas mantup,Lumayan buat refreshing,positif,,
1499,gunung pegat,Pemandangan yang sangat indah. Subhanallah.,positif,,
528,alun alun,"Recomended banget lah, buat mampir untuk istirahat setelah bepergian sekitaran daerah pantura
Deket dengan masjid Agung LA dan tempat"" ada di tengah"" Kabupaten Lamongan",,positif,positif
2397,wbl,Wisata ini sangat seru banyak permainan yg menyenang kan,positif,,
409,alun alun,Penerangan di alun-alun Lamongan kurang terang,,negatif,
53,alun alun,masih ada permainan yg tak terawat,,negatif,
2754,wego,Murah bnyak spot foto,positif,,
1509,gunung pegat,Pemandangan bagus,positif,,
1734,pantai lorena,"Cocok untuk tempat nyantai, banyak warung makan dan harga nya pun standard",positif,positif,
791,alun alun,Alun-alun tempat rekreasi keluarga yg murah meriah.,positif,positif,
816,alun alun,Alaun alun ini adalah titik nol kota lamongan. Di sini paling terkenal makanan nasi boran yang di jual para ibu2 di sekitaran  alun alun,positif,,
2885,gunung mas mantup,di objek wisata ini tidak ada tempat istirahat yang teduh untuk melindungi dari terik matahari,,negatif,
1704,pantai lorena,indahya suasana pantai lorena di tambah dengan wisata bahari lamongan tanjung kodok lengkap sudah hiburan kita,positif,,
2069,waduk gondang,Aku kesini kalau pengen penyetannya.,positif,,
90,alun alun,"Alun-alun kota Lamongan sangat bagus, terasa meriah.
Tidak seperti alun-alun di kota saya, terasa sepi, suram, angker dan tidak terawat.
Dari segi pencahayaan pun bagus, terlihat sekali suasana kota Lamongan yang asyik.",,positif,
2294,wbl,Bagus dan nyaman,,,
2864,goa maharani,Kami merasa lega karena jalan yang kami tempuh tidak rusak,,,positif
325,alun alun,Semakin hari semakinn bagus alun alun nya,positif,,
988,goa maharani,"Wisata konservasi yg cukup lengkap, bisa lihat satwa2 + ada goa bagus dan wahana permainan anak yg seru disini juga ada atraksi satwa setiap harinya. Protokol kesehatan disini juga cukup baik tersedia, handsanitizer dan tempat cuci tangan di area. Suasana disini juga rindang. Suka banget",positif,positif,
256,alun alun,Buat istirahat sejenak boleh lah. Semoga toiletnya bisa lebih bersih lagi.,positif,negatif,
2617,wbl,"Nyarinya mudah banget, nggak perlu khawatir kebingungan nyari tempatnya. Soalnya posisinya ada di jalur pantura",,,positif
856,goa maharani,"Maharani zoo, baik dan mnyenangkan karna bisa feeding girafe, anak2 senang sekali,

tp sungguh sangat kecewa sm penjual oleh2..ati2 aja buat yg blnja brem d kardus wrna kuning,yg 10rb,dpt 3 kotak.. dr luar isinya d bkin kya penuh, tp isinya cm 3 biji..mnding beli yg kemasan transparan bisa kliatan isinya, smoga dpat hidayah yg produksi dan yg bkin.. dosa besar ini..",positif,negatif,
1948,pantai lorena,"sangat mudah dijangkau karena berada di pinggir jalan raya, sehingga sangat cocok untuk dikunjungi oleh siapa saja",,,positif
